01,6041231234,4501231234,jb-test-ctx,Gandalf <1234>,IAX2/0282119604-13,SIP/8315-b791bcc0,Dial,dial data,20071101-114011,20071101-114016,20071101-114511,300,295,ANSWERED,3,gandalf
02,6041231234,4501231234,jb-test-ctx,Gandalf <1234>,IAX2/0282119604-13,SIP/8315-b791bcc0,Dial,dial data,20071101-114011,20071101-114016,20071101-114511,400,295,ANSWERED,3,gandalf
03,6041231234,4501231234,jb-test-ctx,Gandalf <1234>,IAX2/0282119604-13,SIP/8315-b791bcc0,Dial,dial data,20071101-114011,20071101-114016,20071101-114511,500,295,ANSWERED,3,gandalf
04,6041231234,4501231234,jb-test-ctx,Gandalf <1234>,IAX2/0282119604-13,SIP/8315-b791bcc0,Dial,dial data,20071116-114011,20071116-114016,20071116-114511,300,295,ANSWERED,3,gandalf
05,6041231234,5121231234,jb-test-ctx,Test user <1234>,IAX2/0282119604-13,SIP/8315-b791bcc0,Dial,dial data,20071101-114011,20071101-114016,20071101-114511,200,295,ANSWERED,3,testUserName-1189624498100
06,6041231234,4501231234,jb-test-ctx,Test user <1234>,IAX2/0282119604-13,SIP/8315-b791bcc0,Dial,dial data,20071105-114011,20071101-114016,20071101-114511,500,295,ANSWERED,3,testUserName-1189624498100
07,6041231234,4501231234,jb-test-ctx,Gandalf <1234>,IAX2/0282119604-13,SIP/8315-b791bcc0,Dial,dial data,20071101-114011,20071101-114016,20071101-114511,100,295,ANSWERED,3,gandalf
08,6041231234,4501231234,jb-test-ctx,Gandalf <1234>,IAX2/0282119604-13,SIP/8315-b791bcc0,Dial,dial data,20071101-114016,20071101-114016,20071101-114016,0,0,BUSY,3,gandalf
09,6041231234,4501231234,jb-test-ctx,Gandalf <1234>,IAX2/0282119604-13,SIP/8315-b791bcc0,Dial,dial data,20071101-114011,20071101-114016,20071101-114511,-100,-295,ANSWERED,3,gandalf
10,6041231234,5121231234,jb-test-ctx,Test user <1234>,IAX2/0282119604-13,SIP/8315-b791bcc0,Dial,dial data,20071101-114011,20071101-114016,20071101-114511,200,295,ANSWERED,3,notExistingUserName
01,6041231234,5121231234,jb-test-ctx,Gandalf <1234>,IAX2/0282119604-13,SIP/8315-b791bcc0,Dial,dial data,20071101-114011,20071101-114016,20071101-114511,300,295,ANSWERED,3,gandalf
